Exercise;Short YouTube Demonstration;In-Depth YouTube Explanation;Difficulty Level;Target Muscle Group ;Prime Mover Muscle;Secondary Muscle;Tertiary Muscle;Primary Equipment ;# Primary Items;Secondary Equipment;# Secondary Items;Posture;Single or Double Arm;Continuous or Alternating Arms ;Grip;Load Position (Ending);Continuous or Alternating Legs ;Foot Elevation;Combination Exercises;Movement Pattern #1;Movement Pattern #2;Movement Pattern #3;Plane Of Motion #1;Plane Of Motion #2;Plane Of Motion #3;Body Region;Force Type;Mechanics;Laterality;Primary Exercise Classification
Stability Ball Dead Bug;https://youtu.be/5jDEulwWs04;https://youtu.be/5jDEulwWs04;Beginner;Abdominals;Rectus Abdominis;Obliques;Rectus Femoris;Stability Ball;1;None;0;Supine;Single Arm;Alternating;Neutral;Other;Alternating;No Elevation;Single Exercise;Anti-Extension;;;Sagittal Plane;;;Midsection;Other;Compound;Contralateral;Postural
Bodyweight Glute Bridge;https://youtu.be/ncpMkhXAykg?si=a_b3ot2rsThtz4DE;https://youtu.be/ncpMkhXAykg?si=a_b3ot2rsThtz4DE;Beginner;Glutes;Gluteus Maximus;Biceps Femoris;Erector Spinae;Bodyweight;1;None;0;Bridge;No Arms;Continuous;No Grip;No Load;Continuous;No Elevation;Single Exercise;Hip Extension;;;Sagittal Plane;;;Lower Body;Unsorted*;Compound;Bilateral;Bodybuilding
Bodyweight Bird Dog;https://youtu.be/tU-WZsouVjo?si=Ti1JUU03OqgnmtX6;https://youtu.be/tU-WZsouVjo?si=Ti1JUU03OqgnmtX6;Beginner;Abdominals;Rectus Abdominis;Gluteus Maximus;Erector Spinae;Bodyweight;1;None;0;Quadruped;Single Arm;Alternating;Flat Palm;No Load;Alternating;No Elevation;Single Exercise;Anti-Rotational;;;Sagittal Plane;;;Midsection;Other;Compound;Contralateral;Postural
Stability Ball Russian Twist ;https://youtu.be/2rbbUJR-Nx4?si=aAPlfM1RYBeErvZk;https://youtu.be/2rbbUJR-Nx4?si=aAPlfM1RYBeErvZk;Beginner;Abdominals;Obliques;Rectus Abdominis;Iliopsoas;Stability Ball;1;None;0;Seated Floor;Double Arm;Continuous;Neutral;Other;Continuous;No Elevation;Single Exercise;Rotational;;;Transverse Plane;;;Midsection;Other;Compound;Bilateral;Unsorted*
Stability Ball Feet Elevated Crunch ;https://youtu.be/ByXVlY2L3nw;https://youtu.be/ByXVlY2L3nw;Beginner;Abdominals;Rectus Abdominis;Iliopsoas;Obliques;Stability Ball;1;None;0;Supine;No Arms;Continuous;Head Supported;No Load;Continuous;Feet Elevated;Single Exercise;Spinal Flexion;;;Sagittal Plane;;;Midsection;Other;Isolation;Bilateral;Unsorted*
Ring Hanging Knee Raise ;https://youtu.be/RPBH_Dw5hUo?si=SqKs_FnqsPMuLdq0;https://youtu.be/RPBH_Dw5hUo?si=SqKs_FnqsPMuLdq0;Intermediate;Abdominals;Rectus Abdominis;Iliopsoas;Rectus Femoris;Gymnastic Rings;2;None;0;Hanging;Double Arm;Continuous;Pronated;No Load;Continuous;No Elevation;Single Exercise;Spinal Flexion;;;Sagittal Plane;;;Midsection;Other;Compound;Bilateral;Calisthenics
Parallette Mountain Climber;https://youtu.be/W0RoAqlFzrA;https://youtu.be/W0RoAqlFzrA;Novice;Abdominals;Rectus Abdominis;Iliopsoas;Anterior Deltoids;Parallette Bars;2;None;0;Prone;Double Arm;Continuous;Neutral;No Load;Alternating;No Elevation;Single Exercise;Anti-Extension;Spinal Flexion;;Sagittal Plane;;;Midsection;Other;Compound;Unilateral;Calisthenics
Parallette Push Up;https://youtu.be/Kbhl_O1N4aw;https://youtu.be/Kbhl_O1N4aw;Novice;Chest;Pectoralis Major;Triceps Brachii;;Parallette Bars;2;None;0;Prone;Double Arm;Continuous;Neutral;No Load;Continuous;No Elevation;Single Exercise;Horizontal Push;;;Sagittal Plane;;;Upper Body;Push;Compound;Bilateral;Calisthenics
Bodyweight Knee Hover Bird Dog;https://youtu.be/fGaqVUHB1aA;https://youtu.be/fGaqVUHB1aA;Intermediate;Abdominals;Rectus Abdominis;Gluteus Maximus;Erector Spinae;Bodyweight;1;None;0;Knee Hover Quadruped;Single Arm;Alternating;Flat Palm;No Load;Alternating;No Elevation;Single Exercise;Anti-Rotational;;;Sagittal Plane;;;Midsection;Other;Compound;Contralateral;Postural
Stability Ball V Up Pass;https://youtu.be/n4UPDi5BuL0;https://youtu.be/n4UPDi5BuL0;Novice;Abdominals;Rectus Abdominis;Iliopsoas;Obliques;Stability Ball;1;None;0;Supine;Double Arm;Continuous;Neutral;Other;Continuous;No Elevation;Single Exercise;Hip Flexion;;;Sagittal Plane;;;Midsection;Other;Compound;Bilateral;Unsorted*
